               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096106,            0.016353,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070536,           0.0032738,           0.0032738
                   1,            0.089989,            0.016733,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040405,           0.0064763,           0.0064763
                   2,            0.081023,            0.018504,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010142,           0.0095468,           0.0095468
                   3,            0.077894,            0.016928,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.073444,            0.014168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.071152,            0.013568,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.061753,             0.01496,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.065867,            0.013481,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.061273,             0.01288,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.061144,            0.011225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.056992,            0.012456,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.051148,            0.010629,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.05357,            0.010746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.052161,             0.00952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.049592,           0.0083342,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.052021,            0.010174,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04971,            0.009303,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.048312,           0.0087283,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.045614,           0.0081848,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.046248,           0.0080933,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.042864,           0.0087634,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.044405,           0.0094212,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.042396,           0.0090509,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.041499,           0.0080627,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.040842,             0.00846,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.040499,            0.007525,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.041427,           0.0080615,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.041073,           0.0075073,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.041327,            0.006998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.041536,             0.00747,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.039274,            0.007688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.03824,           0.0067503,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.037965,           0.0077317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.036033,           0.0077224,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.037704,           0.0074359,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.037444,           0.0075438,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.037337,           0.0070274,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.033409,           0.0069214,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.039228,           0.0081504,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.036843,           0.0071198,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.034509,            0.007095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.03516,           0.0061757,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.032961,           0.0071578,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.035065,           0.0063394,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.034461,           0.0066969,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.033133,           0.0067594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.035459,           0.0073305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.037087,           0.0072866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.031863,           0.0066416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.033968,           0.0066463,                   0,              0.8998,             0.92708,             0.94947,             0.49501,            0.029401,           0.0067601,                   0,            0.000496,            0.000496,            0.000496
